household_id,food_id,category,days_to_expiry,shelf_life_days,frac_life_remaining,days_since_purchase,frac_pack_remaining,days_of_stock_left,finish_ratio,storage_code,opened,perishability,days_of_stock,stock_vs_shelf,storage_mismatch,same_category_count,active_items_total,is_leftover,household_size,user_category_waste_rate,user_overall_waste_rate,wasted
0,okra,vegetables,-0.279,5.541,-0.0504,5.821,0.2506,2.604,5.2082,1,0,4,10.391,1.8751,0.975,0,0,0,4,0.22,0.22,1
0,mutton,meat_fish,2.116,2.257,0.9374,0.141,0.8498,1.53,0.7232,1,0,5,1.801,0.7977,0.9833,0,1,0,4,0.22,0.376,0
0,coriander,herbs,4.923,5.351,0.92,0.428,0.785,1.635,0.332,1,0,5,2.082,0.3891,0.95,0,2,0,4,0.22,0.3133,1
0,butter,dairy,43.23,44.3,0.9759,1.069,0.8194,5.887,0.1362,1,0,2,7.184,0.1622,0.8333,0,3,0,4,0.22,0.4114,0
0,milk,dairy,3.973,3.993,0.9952,0.019,0.9748,1.371,0.3449,1,0,5,1.406,0.3521,0.9556,1,4,0,4,0.1467,0.36,0
0,sweets,bakery,1.556,4.756,0.3271,3.2,0.2348,1.006,0.6468,1,1,5,4.287,0.9014,0.0,0,3,0,4,0.22,0.32,0
0,fish,meat_fish,1.167,2.011,0.5804,0.844,0.2742,0.472,0.4043,1,0,5,1.721,0.8558,0.9867,1,6,0,4,0.1467,0.288,0
0,cheese,dairy,16.236,18.016,0.9012,1.779,0.4788,1.111,0.0685,1,1,3,2.321,0.1288,0.8611,1,5,0,4,0.11,0.2618,0
0,cooked_sabzi,cooked_leftovers,2.58,2.82,0.915,0.24,0.1709,0.05,0.0192,1,0,5,0.29,0.1028,0.9333,0,2,1,4,0.22,0.24,0
0,ridge_gourd,vegetables,4.052,5.746,0.7051,1.694,0.27,1.044,0.2576,1,0,4,3.866,0.6728,0.0,1,2,0,4,0.48,0.2215,0
0,jaggery,condiments,338.416,339.237,0.9976,0.821,0.961,27.751,0.082,0,1,1,28.877,0.0851,0.0,0,3,0,4,0.22,0.2057,0
0,poha,grains,175.738,175.948,0.9988,0.21,0.9603,5.619,0.032,0,0,1,5.851,0.0333,0.0,0,5,0,4,0.22,0.192,0
0,pav,bakery,0.837,2.189,0.3823,1.352,0.2331,0.266,0.3182,0,0,4,1.143,0.5218,0.95,0,5,0,4,0.1467,0.18,0
0,fish,meat_fish,-0.417,1.947,-0.2141,2.363,0.1327,0.59,1.1792,1,0,5,4.442,2.2819,0.9867,0,4,0,4,0.11,0.1694,0
0,maida,grains,213.005,213.424,0.998,0.42,0.9225,12.345,0.058,0,0,1,13.383,0.0627,0.2,1,2,0,4,0.1467,0.16,0
0,amaranth,leafy_greens,2.657,4.025,0.6602,1.368,0.1161,0.307,0.1155,1,0,5,2.643,0.6568,0.9778,0,3,0,4,0.22,0.1516,0
0,grapes,fruits,10.453,11.11,0.9409,0.657,0.4639,0.75,0.0718,1,1,4,1.617,0.1456,0.96,0,4,0,4,0.22,0.144,0
0,capsicum,vegetables,13.678,14.936,0.9158,1.258,0.3588,1.475,0.1078,1,0,3,4.11,0.2752,0.95,0,5,0,4,0.36,0.1371,0
0,pickle,condiments,292.392,294.006,0.9945,1.613,0.6185,4.461,0.0153,0,0,1,7.212,0.0245,0.2603,1,6,0,4,0.1467,0.1309,0
0,papaya,fruits,8.694,9.646,0.9012,0.953,0.03,0.058,0.0067,1,0,4,1.949,0.2021,0.9444,1,7,0,4,0.1467,0.1252,0
0,curd,dairy,9.765,9.951,0.9812,0.187,0.8237,0.906,0.0928,1,0,4,1.1,0.1106,0.0,0,4,0,4,0.088,0.12,0
0,coriander,herbs,3.471,6.281,0.5526,2.81,0.1266,0.543,0.1564,1,0,5,4.289,0.6829,0.95,0,3,0,4,0.48,0.1152,0
0,mushroom,vegetables,-0.357,1.0,-0.3568,1.357,0.6901,1.9,3.8004,0,0,5,2.753,2.7534,0.9958,0,5,0,4,0.288,0.1108,1
0,roti_pack,bakery,5.627,5.71,0.9855,0.083,0.7998,0.733,0.1302,1,0,4,0.916,0.1605,0.8833,0,8,0,4,0.11,0.1437,0
0,strawberry,fruits,2.849,4.508,0.6318,1.66,0.2972,0.669,0.235,1,0,5,2.253,0.4997,0.9852,0,6,0,4,0.11,0.1386,1
0,roti_pack,bakery,8.085,8.201,0.9858,0.116,0.7778,0.54,0.0668,1,0,4,0.694,0.0847,0.8833,1,4,0,4,0.088,0.1683,0
